date,ticks_window1,ticks_window2
2020-01-10,522,548
2020-01-13,447,302
2020-01-14,575,376
2020-01-15,539,549
2020-01-16,534,551
2020-01-17,576,497
2020-01-20,463,473
2020-01-21,413,368
2020-01-22,279,396
2020-01-23,437,525
2020-01-24,385,572
2020-01-27,458,568
2020-01-28,470,498
2020-01-29,440,515
2020-01-30,329,359
2020-01-31,500,455
2020-02-03,394,535
2020-02-04,510,495
2020-02-05,484,530
2020-02-06,409,445
2020-02-07,487,527
2020-02-10,474,540
2020-02-11,431,465
2020-02-12,540,543
2020-02-13,397,546
2020-02-14,487,439
2020-02-17,481,590
2020-02-18,380,443
2020-02-19,417,472
2020-02-20,411,537
2020-02-21,534,401
2020-02-24,418,402
2020-02-25,490,566
2020-02-26,393,412
2020-02-27,532,466
2020-02-28,463,517
2020-03-02,406,490
2020-03-03,427,464
2020-03-04,482,498
2020-03-05,512,488
2020-03-06,455,505
2020-03-09,597,561
2020-03-10,393,570
2020-03-11,546,539
2020-03-12,448,599
2020-03-13,592,588
2020-03-16,589,575
2020-03-17,547,550
2020-03-18,547,527
2020-03-19,526,501
2020-03-20,525,586
2020-03-23,475,475
2020-03-24,492,548
2020-03-25,515,554
2020-03-26,549,427
2020-03-27,492,344
2020-03-30,472,366
2020-03-31,368,418
2020-04-01,510,392
2020-04-02,400,519
2020-04-03,437,559
2020-04-06,559,515
2020-04-07,471,452
2020-04-08,510,450
2020-04-09,437,530
2020-04-10,505,451
2020-04-13,384,580
2020-04-14,415,486
2020-04-15,439,436
2020-04-16,389,553
2020-04-17,469,459
2020-04-20,452,583
2020-04-21,386,411
2020-04-22,476,364
2020-04-23,447,515
2020-04-24,449,421
2020-04-27,532,415
2020-04-28,366,382
2020-04-29,367,520
2020-04-30,595,578
2020-05-01,536,596
2020-05-04,559,508
2020-05-05,549,525
2020-05-06,458,590
2020-05-07,497,492
2020-05-08,531,539
2020-05-11,453,594
2020-05-12,531,489
2020-05-13,420,546
2020-05-14,583,583
2020-05-15,517,549
2020-05-18,477,393
2020-05-19,380,558
2020-05-20,240,373
2020-05-21,293,403
2020-05-22,443,355
2020-05-25,430,395
2020-05-26,363,451
2020-05-27,337,464
2020-05-28,373,524
2020-05-29,322,383
2020-06-01,442,327
2020-06-02,377,297
2020-06-03,419,464
2020-06-04,351,366
2020-06-05,322,518
2020-06-08,299,314
2020-06-09,234,386
2020-06-10,321,174
2020-06-11,344,411
2020-06-12,357,276
2020-06-15,564,303
2020-06-16,369,308
2020-06-17,225,238
2020-06-18,337,192
2020-06-19,259,253
2020-06-22,356,305
2020-06-23,216,327
2020-06-24,112,407
2020-06-25,224,381
2020-06-26,342,413
2020-06-29,176,304
2020-06-30,350,302
2020-07-01,146,258
2020-07-02,419,300
2020-07-03,345,335
2020-07-06,225,274
2020-07-07,276,167
2020-07-08,201,207
2020-07-09,251,154
2020-07-10,212,162
2020-07-13,144,238
2020-07-14,108,226
2020-07-15,117,114
2020-07-16,96,290
2020-07-17,96,232
2020-07-20,86,185
2020-07-21,134,106
2020-07-22,190,124
2020-07-23,109,68
2020-07-24,78,66
2020-07-27,355,389
2020-07-28,344,447
2020-07-29,327,356
2020-07-30,196,181
2020-07-31,185,400
2020-08-03,290,335
2020-08-04,271,533
2020-08-05,207,410
2020-08-06,312,333
2020-08-07,337,449
2020-08-10,452,396
2020-08-11,304,346
2020-08-12,403,452
2020-08-13,205,352
2020-08-14,358,367
2020-08-17,271,322
2020-08-18,426,404
2020-08-19,451,454
2020-08-20,401,515
2020-08-21,343,483
2020-08-24,158,146
2020-08-25,326,269
2020-08-26,291,197
2020-08-27,249,330
2020-08-28,163,297
2020-08-31,224,275
2020-09-01,384,434
2020-09-02,178,476
2020-09-03,436,374
2020-09-04,438,393
2020-09-05,600,600
2020-09-06,600,600
2020-09-07,542,534
2020-09-08,483,547
2020-09-09,382,357
2020-09-10,257,396
2020-09-11,360,352
2020-09-12,154,208
2020-09-13,244,493
2020-09-14,411,421
2020-09-15,279,489
2020-09-16,379,421
2020-09-17,274,441
2020-09-18,231,318
2020-09-19,173,458
2020-09-20,194,231
2020-09-21,228,492
2020-09-22,255,455
2020-09-23,219,242
2020-09-24,270,364
2020-09-25,241,462
2020-09-26,451,180
2020-09-27,269,342
2020-09-28,301,253
2020-09-29,345,370
2020-09-30,259,309
2020-10-01,182,302
2020-10-02,477,448
2020-10-03,63,176
2020-10-04,332,303
2020-10-05,232,289
2020-10-06,321,239
2020-10-07,389,280
2020-10-08,240,336
2020-10-09,347,434
2020-10-10,158,350
2020-10-11,174,252
2020-10-12,249,399
2020-10-13,292,441
2020-10-14,265,365
2020-10-15,255,189
2020-10-16,388,522
2020-10-17,66,146
2020-10-18,259,183
2020-10-19,180,278
2020-10-20,355,535
2020-10-21,423,583
2020-10-22,431,475
2020-10-23,308,544
2020-10-24,108,158
2020-10-25,554,245
2020-10-26,359,428
2020-10-27,269,541
2020-10-28,456,575
2020-10-29,400,563
2020-10-30,597,539
2020-10-31,243,542
2020-11-01,447,423
2020-11-02,227,547
2020-11-03,542,540
2020-11-04,472,429
2020-11-05,502,587
2020-11-06,446,589
2020-11-07,360,404
2020-11-08,376,314
2020-11-09,527,587
2020-11-10,522,505
2020-11-11,450,549
2020-11-12,480,528
2020-11-13,562,503
2020-11-14,187,510
2020-11-15,410,525
2020-11-16,542,584
2020-11-17,561,588
2020-11-18,600,578
2020-11-19,545,576
2020-11-20,555,590
2020-11-21,461,498
2020-11-22,574,595
2020-11-23,577,567
2020-11-24,585,599
2020-11-25,561,431
2020-11-26,572,586
2020-11-27,553,554
2020-11-28,322,448
2020-11-29,377,470
2020-11-30,543,564
2020-12-01,484,593
2020-12-02,519,559
2020-12-03,469,436
2020-12-04,423,593
2020-12-05,393,523
2020-12-06,447,526
2020-12-07,357,457
2020-12-08,322,468
2020-12-09,557,532
2020-12-10,510,323
2020-12-11,484,578
2020-12-12,429,537
2020-12-13,460,472
2020-12-14,520,462
2020-12-15,459,466
2020-12-16,334,315
2020-12-17,516,529
2020-12-18,383,515
2020-12-19,437,420
2020-12-20,342,372
2020-12-21,534,580
2020-12-22,568,585
2020-12-23,579,583
2020-12-24,410,526
2020-12-25,459,364
2020-12-26,478,503
2020-12-27,467,594
2020-12-28,536,501
2020-12-29,554,539
2020-12-30,522,497
2020-12-31,433,505
2021-01-02,427,446
2021-01-03,561,582
2021-01-04,579,598
2021-01-05,599,515
2021-01-06,507,595
2021-01-07,518,570
2021-01-08,542,550
2021-01-09,589,591
2021-01-10,577,598
2021-01-11,519,511
2021-01-12,596,576
2021-01-13,598,570
2021-01-14,589,483
2021-01-15,599,542
2021-01-16,373,288
2021-01-17,388,388
2021-01-18,369,525
2021-01-19,357,548
2021-01-20,462,555
2021-01-21,308,448
2021-01-22,278,570
2021-01-23,277,405
2021-01-24,364,325
2021-01-25,479,482
2021-01-26,470,559
2021-01-27,572,599
2021-01-28,591,483
2021-01-29,523,582
2021-01-30,349,433
2021-01-31,304,316
2021-02-01,479,566
2021-02-02,394,547
2021-02-03,505,584
2021-02-04,503,547
2021-02-05,418,528
2021-02-06,324,415
2021-02-07,352,287
2021-02-08,559,444
2021-02-09,548,542
2021-02-10,567,534
2021-02-11,550,566
2021-02-12,452,535
2021-02-13,254,444
2021-02-14,369,374
2021-02-15,559,538
2021-02-16,525,516
2021-02-17,573,583
2021-02-18,526,508
2021-02-19,475,499
2021-02-20,385,319
2021-02-21,415,419
2021-02-22,561,576
2021-02-23,599,600
2021-02-24,575,564
2021-02-25,585,541
2021-02-26,599,589
2021-02-27,290,510
2021-02-28,562,424
2021-03-01,443,562
2021-03-02,450,509
2021-03-03,456,486
2021-03-04,480,535
2021-03-05,527,475
2021-03-06,280,389
2021-03-07,317,339
2021-03-08,412,482
2021-03-09,543,521
2021-03-10,437,520
2021-03-11,528,568
2021-03-12,561,583
2021-03-13,249,469
2021-03-14,340,463
2021-03-15,579,579
2021-03-16,566,562
2021-03-17,586,587
2021-03-18,540,581
2021-03-19,566,589
2021-03-20,253,373
2021-03-21,447,385
2021-03-22,587,587
2021-03-23,564,586
2021-03-24,572,555
2021-03-25,577,594
2021-03-26,577,583
2021-03-27,254,446
2021-03-28,271,512
2021-03-29,555,572
2021-03-30,501,507
2021-03-31,529,555
2021-04-01,584,546
2021-04-02,535,468
2021-04-03,148,272
2021-04-04,373,394
2021-04-05,584,470
2021-04-06,464,554
2021-04-07,518,586
2021-04-08,494,520
2021-04-09,508,578
2021-04-10,151,359
2021-04-11,463,465
2021-04-12,326,471
2021-04-13,491,524
2021-04-14,552,540
2021-04-15,556,546
2021-04-16,540,566
2021-04-17,307,456
2021-04-18,468,564
2021-04-19,486,508
2021-04-20,501,593
2021-04-21,550,574
2021-04-22,565,562
2021-04-23,584,541
2021-04-24,237,568
2021-04-25,241,443
2021-04-26,584,566
2021-04-27,532,570
2021-04-28,545,583
2021-04-29,529,537
2021-04-30,560,557
2021-05-01,220,390
2021-05-02,419,367
2021-05-03,488,469
2021-05-04,525,567
2021-05-05,573,557
2021-05-06,523,548
2021-05-07,579,589
2021-05-08,172,406
2021-05-09,314,453
2021-05-10,564,581
2021-05-11,576,571
2021-05-12,582,568
2021-05-13,583,594
2021-05-14,597,547
2021-05-15,381,516
2021-05-16,553,411
2021-05-17,600,598
2021-05-18,595,591
2021-05-19,600,598
2021-05-20,598,598
2021-05-21,598,598
2021-05-22,451,598
2021-05-23,595,600
2021-05-24,598,599
2021-05-25,598,599
2021-05-26,571,547
2021-05-27,587,574
2021-05-28,600,600
2021-05-29,415,433
2021-05-30,597,599
2021-05-31,588,593
2021-06-01,580,585
2021-06-02,589,521
2021-06-03,596,582
2021-06-04,588,530
2021-06-05,203,598
2021-06-06,568,577
2021-06-07,543,565
2021-06-08,596,573
2021-06-09,581,580
2021-06-10,562,580
2021-06-11,581,579
2021-06-12,395,583
2021-06-13,578,571
2021-06-14,568,540
2021-06-15,577,591
2021-06-16,577,572
2021-06-17,517,541
2021-06-18,578,587
2021-06-19,280,573
2021-06-20,502,589
2021-06-21,585,598
2021-06-22,576,599
2021-06-23,596,512
2021-06-24,529,583
2021-06-25,578,597
2021-06-26,298,598
2021-06-27,581,597
2021-06-28,561,576
2021-06-29,557,540
2021-06-30,494,573
2021-07-01,534,518
2021-07-02,494,528
2021-07-03,284,211
2021-07-04,302,220
2021-07-05,558,572
2021-07-06,455,565
2021-07-07,489,574
2021-07-08,520,566
2021-07-09,567,552
2021-07-10,268,211
2021-07-11,180,242
2021-07-12,432,485
2021-07-13,545,499
2021-07-14,520,553
2021-07-15,441,476
2021-07-16,449,527
2021-07-17,294,275
2021-07-18,173,183
2021-07-19,496,421
2021-07-20,424,497
2021-07-21,556,573
2021-07-22,413,522
